time,halfW01,d0,d1,d2,d3
2.938,0.8680,2,5,5,2
0.340,0.8843,2,5,5,2
0.372,0.8852,2,5,5,2
0.406,0.8869,2,5,5,2
0.437,0.8878,2,5,5,2
0.473,0.8895,2,5,5,2
0.507,0.8912,2,5,5,2
0.540,0.8928,2,5,5,2
0.574,0.8937,2,5,5,2
0.606,0.8953,2,5,5,2
0.639,0.8960,2,5,5,2
0.671,0.8976,2,5,5,2
0.708,0.8991,2,5,5,2
0.739,0.8998,2,5,5,2
0.774,0.9031,2,5,5,2
0.808,0.9113,2,5,5,2
0.841,0.9203,2,5,5,2
0.869,0.9259,2,5,5,2
0.908,0.9315,2,5,5,2
0.940,0.9344,2,5,5,2
0.974,0.9346,2,5,5,2
1.007,0.9333,2,5,5,2
1.036,0.9302,2,5,5,2
1.069,0.9294,2,5,5,2
1.103,0.9289,2,5,5,2
1.136,0.9294,2,5,5,2
1.173,0.9303,2,5,5,2
1.206,0.9313,2,5,5,2
1.239,0.9286,2,5,5,2
1.272,0.9234,2,5,5,2
1.312,0.9122,2,5,5,2
1.338,0.9032,2,5,5,2
1.371,0.8900,2,5,5,2
1.404,0.8751,2,5,5,2
1.437,0.8577,2,5,5,2
1.471,0.8662,2,5,5,2
1.504,0.8767,2,5,5,2
1.538,0.8853,2,5,5,2
1.571,0.8922,2,5,5,2
1.606,0.8972,2,5,5,2
1.649,0.9004,2,5,5,2
1.674,0.9007,2,5,5,2
1.706,0.9011,2,5,5,2
1.737,0.9008,2,5,5,2
1.771,0.8992,2,5,5,2
1.806,0.8951,2,5,5,2
1.839,0.8891,2,5,5,2
1.874,0.8808,2,5,5,2
1.895,0.8747,2,5,5,2
1.938,0.8607,2,5,5,2
1.973,0.8805,2,5,5,2
2.003,0.8965,2,5,5,2
2.037,0.9117,2,5,5,2
2.072,0.9259,2,5,5,2
2.105,0.9372,2,5,5,2
2.141,0.9472,2,5,5,2
2.171,0.9537,2,5,5,2
2.205,0.9592,2,5,5,2
2.237,0.9621,2,5,5,2
2.271,0.9634,2,5,5,2
2.304,0.9627,2,5,5,2
2.337,0.9597,2,5,5,2
2.372,0.9567,2,5,5,2
2.406,0.9574,2,5,5,2
2.438,0.9578,2,5,5,2
2.473,0.9585,2,5,5,2
2.505,0.9592,2,5,5,2
