time,halfW01,d0,d1,d2,d3
2.916,0.9446,2,5,5,2
0.333,0.9658,2,5,5,2
0.367,0.9681,2,5,5,2
0.400,0.9704,2,5,5,2
0.433,0.9715,2,5,5,2
0.466,0.9737,2,5,5,2
0.500,0.9758,2,5,5,2
0.533,0.9769,2,5,5,2
0.566,0.9789,2,5,5,2
0.598,0.9808,2,5,5,2
0.638,0.9827,2,5,5,2
0.668,0.9837,2,5,5,2
0.700,0.9855,2,5,5,2
0.733,0.9863,2,5,5,2
0.765,0.9880,2,5,5,2
0.799,0.9897,2,5,5,2
0.833,0.9905,2,5,5,2
0.867,0.9920,2,5,5,2
0.899,0.9935,2,5,5,2
0.934,0.9943,2,5,5,2
0.967,0.9957,2,5,5,2
0.999,0.9970,2,5,5,2
1.033,0.9977,2,5,5,2
1.057,0.9990,2,5,5,2
1.100,1.0000,2,5,5,2
1.133,1.0000,2,5,5,2
1.166,1.0000,2,5,5,2
1.199,1.0000,2,5,5,2
