time,halfW01,d0,d1,d2,d3
2.949,0.7855,2,5,5,2
0.333,0.7834,2,5,5,2
0.361,0.7835,2,5,5,2
0.400,0.7839,2,5,5,2
0.434,0.7845,2,5,5,2
0.467,0.7853,2,5,5,2
0.501,0.7857,2,5,5,2
0.534,0.7866,2,5,5,2
0.566,0.7871,2,5,5,2
0.601,0.7882,2,5,5,2
0.634,0.7894,2,5,5,2
0.660,0.7900,2,5,5,2
0.700,0.7913,2,5,5,2
0.733,0.7926,2,5,5,2
0.761,0.7933,2,5,5,2
0.811,0.7955,2,5,5,2
0.833,0.7962,2,5,5,2
0.861,0.7970,2,5,5,2
0.899,0.7985,2,5,5,2
0.934,0.8001,2,5,5,2
0.961,0.8008,2,5,5,2
0.999,0.8024,2,5,5,2
1.027,0.8040,2,5,5,2
1.066,0.8049,2,5,5,2
1.094,0.8065,2,5,5,2
1.133,0.8082,2,5,5,2
1.166,0.8091,2,5,5,2
1.194,0.8108,2,5,5,2
1.233,0.8125,2,5,5,2
1.267,0.8143,2,5,5,2
1.300,0.8152,2,5,5,2
1.344,0.8170,2,5,5,2
1.377,0.8188,2,5,5,2
1.401,0.8197,2,5,5,2
1.433,0.8215,2,5,5,2
1.477,0.8233,2,5,5,2
1.499,0.8242,2,5,5,2
1.527,0.8260,2,5,5,2
1.565,0.8269,2,5,5,2
1.594,0.8288,2,5,5,2
1.635,0.8306,2,5,5,2
1.677,0.8325,2,5,5,2
1.701,0.8334,2,5,5,2
1.734,0.8352,2,5,5,2
1.767,0.8370,2,5,5,2
1.800,0.8379,2,5,5,2
1.827,0.8397,2,5,5,2
1.861,0.8406,2,5,5,2
1.894,0.8425,2,5,5,2
1.935,0.8442,2,5,5,2
1.977,0.8460,2,5,5,2
1.999,0.8469,2,5,5,2
2.027,0.8487,2,5,5,2
2.067,0.8505,2,5,5,2
2.100,0.8513,2,5,5,2
2.127,0.8531,2,5,5,2
2.167,0.8539,2,5,5,2
2.200,0.8556,2,5,5,2
2.244,0.8573,2,5,5,2
2.267,0.8582,2,5,5,2
2.301,0.8598,2,5,5,2
2.327,0.8615,2,5,5,2
2.377,0.8631,2,5,5,2
2.399,0.8639,2,5,5,2
2.427,0.8655,2,5,5,2
2.467,0.8671,2,5,5,2
2.494,0.8679,2,5,5,2
2.535,0.8695,2,5,5,2
2.577,0.8710,2,5,5,2
2.600,0.8717,2,5,5,2
2.633,0.8732,2,5,5,2
2.667,0.8740,2,5,5,2
2.700,0.8754,2,5,5,2
2.729,0.8769,2,5,5,2
2.761,0.8776,2,5,5,2
2.794,0.8790,2,5,5,2
2.844,0.8804,2,5,5,2
2.866,0.8810,2,5,5,2
2.900,0.8824,2,5,5,2
2.944,0.8837,2,5,5,2
2.967,0.8844,2,5,5,2
3.000,0.8856,2,5,5,2
3.027,0.8869,2,5,5,2
3.068,0.8881,2,5,5,2
