time,halfW01,d0,d1,d2,d3
2.932,0.8290,2,5,5,2
0.333,0.8493,2,5,5,2
0.366,0.8504,2,5,5,2
0.399,0.8527,2,5,5,2
0.432,0.8549,2,5,5,2
0.464,0.8560,2,5,5,2
0.500,0.8582,2,5,5,2
0.531,0.8604,2,5,5,2
0.564,0.8615,2,5,5,2
0.598,0.8636,2,5,5,2
0.633,0.8657,2,5,5,2
0.666,0.8667,2,5,5,2
0.698,0.8688,2,5,5,2
0.732,0.8708,2,5,5,2
0.765,0.8718,2,5,5,2
0.801,0.8738,2,5,5,2
0.833,0.8758,2,5,5,2
0.865,0.8768,2,5,5,2
0.899,0.8787,2,5,5,2
0.933,0.8806,2,5,5,2
0.964,0.8815,2,5,5,2
0.999,0.8834,2,5,5,2
1.031,0.8852,2,5,5,2
1.064,0.8861,2,5,5,2
1.093,0.8879,2,5,5,2
1.132,0.8897,2,5,5,2
1.166,0.8906,2,5,5,2
1.198,0.8923,2,5,5,2
1.233,0.8940,2,5,5,2
1.265,0.8948,2,5,5,2
1.298,0.8965,2,5,5,2
1.332,0.8981,2,5,5,2
1.366,0.8989,2,5,5,2
1.398,0.9005,2,5,5,2
1.432,0.9021,2,5,5,2
1.465,0.9029,2,5,5,2
1.498,0.9044,2,5,5,2
1.532,0.9059,2,5,5,2
1.565,0.9067,2,5,5,2
1.601,0.9081,2,5,5,2
1.634,0.9096,2,5,5,2
1.667,0.9103,2,5,5,2
1.701,0.9117,2,5,5,2
1.732,0.9131,2,5,5,2
1.764,0.9138,2,5,5,2
1.800,0.9151,2,5,5,2
1.832,0.9164,2,5,5,2
1.866,0.9171,2,5,5,2
1.899,0.9184,2,5,5,2
1.932,0.9197,2,5,5,2
1.965,0.9203,2,5,5,2
2.000,0.9215,2,5,5,2
2.033,0.9227,2,5,5,2
2.066,0.9233,2,5,5,2
2.098,0.9245,2,5,5,2
2.131,0.9257,2,5,5,2
2.164,0.9262,2,5,5,2
2.197,0.9274,2,5,5,2
2.234,0.9285,2,5,5,2
2.264,0.9290,2,5,5,2
2.297,0.9301,2,5,5,2
2.331,0.9311,2,5,5,2
2.366,0.9317,2,5,5,2
2.398,0.9327,2,5,5,2
2.434,0.9337,2,5,5,2
2.465,0.9342,2,5,5,2
2.500,0.9352,2,5,5,2
2.534,0.9361,0,0,0,0
2.565,0.9366,0,0,0,0
2.599,0.9375,0,0,0,0
2.631,0.9384,0,0,0,0
2.664,0.9389,0,0,0,0
2.697,0.9398,0,0,0,0
2.732,0.9406,0,0,0,0
2.765,0.9411,0,0,0,0
2.801,0.9419,0,0,0,0
2.832,0.9427,0,0,0,0
2.867,0.9431,0,0,0,0
2.899,0.9439,0,0,0,0
2.930,0.9447,0,0,0,0
2.964,0.9451,0,0,0,0
2.997,0.9459,0,0,0,0
3.034,0.9466,0,0,0,0
3.065,0.9470,0,0,0,0
3.098,0.9477,0,0,0,0
3.132,0.9484,0,0,0,0
3.167,0.9487,0,0,0,0
3.199,0.9494,0,0,0,0
3.232,0.9501,0,0,0,0
3.267,0.9504,0,0,0,0
3.297,0.9511,0,0,0,0
3.329,0.9517,0,0,0,0
3.365,0.9520,0,0,0,0
3.398,0.9526,0,0,0,0
3.432,0.9532,0,0,0,0
3.465,0.9535,0,0,0,0
3.499,0.9541,0,0,0,0
3.533,0.9546,0,0,0,0
3.564,0.9549,0,0,0,0
3.598,0.9555,0,0,0,0
3.635,0.9560,0,0,0,0
3.667,0.9563,0,0,0,0
3.699,0.9568,0,0,0,0
3.733,0.9573,0,0,0,0
3.766,0.9576,0,0,0,0
3.798,0.9581,0,0,0,0
3.830,0.9585,0,0,0,0
3.867,0.9588,0,0,0,0
3.899,0.9592,0,0,0,0
3.932,0.9597,0,0,0,0
3.966,0.9599,0,0,0,0
3.998,0.9604,0,0,0,0
4.030,0.9608,0,0,0,0
4.065,0.9610,0,0,0,0
4.097,0.9615,0,0,0,0
4.132,0.9619,0,0,0,0
4.164,0.9621,0,0,0,0
4.198,0.9625,0,0,0,0
4.230,0.9628,0,0,0,0
4.264,0.9627,0,0,0,0
4.300,0.9622,0,0,0,0
4.335,0.9610,0,0,0,0
4.363,0.9601,0,0,0,0
4.400,0.9577,2,5,5,2
4.429,0.9545,2,5,5,2
4.465,0.9526,2,5,5,2
4.501,0.9483,2,5,5,2
4.532,0.9433,2,5,5,2
4.567,0.9406,2,5,5,2
4.596,0.9346,2,5,5,2
4.630,0.9281,2,5,5,2
4.665,0.9247,2,5,5,2
4.697,0.9176,2,5,5,2
4.731,0.9100,2,5,5,2
4.767,0.9061,2,5,5,2
4.798,0.8980,2,5,5,2
4.834,0.8896,2,5,5,2
4.869,0.8854,2,5,5,2
4.897,0.8766,2,5,5,2
4.935,0.8676,2,5,5,2
4.967,0.8630,2,5,5,2
4.999,0.8537,2,5,5,2
5.034,0.8443,2,5,5,2
5.068,0.8395,2,5,5,2
5.098,0.8302,2,5,5,2
5.131,0.8211,2,5,5,2
5.165,0.8166,2,5,5,2
5.200,0.8079,2,5,5,2
5.234,0.7994,2,5,5,2
5.268,0.7952,2,5,5,2
5.300,0.7867,2,5,5,2
5.331,0.7783,2,5,5,2
5.368,0.7740,2,5,5,2
5.408,0.7652,2,5,5,2
5.427,0.7607,2,5,5,2
5.463,0.7516,1,6,6,1
5.498,0.7423,1,6,6,1
5.534,0.7330,1,6,6,1
5.563,0.7282,1,6,6,1
5.599,0.7186,1,6,6,1
5.633,0.7090,1,6,6,1
5.668,0.7040,1,6,6,1
5.701,0.6941,1,6,6,1
5.740,0.6840,1,6,6,1
5.758,0.6790,1,6,6,1
5.800,0.6688,1,6,6,1
5.831,0.6588,1,6,6,1
5.864,0.6543,1,6,6,1
5.897,0.6450,1,6,6,1
5.933,0.6356,1,6,6,1
5.964,0.6309,1,6,6,1
5.997,0.6213,1,6,6,1
6.035,0.6116,1,6,6,1
6.066,0.6068,1,6,6,1
6.101,0.5971,1,6,6,1
6.133,0.5875,1,6,6,1
6.168,0.5829,1,6,6,1
6.197,0.5735,1,6,6,1
6.235,0.5644,1,6,6,1
6.264,0.5599,1,6,6,1
6.300,0.5507,1,6,6,1
6.330,0.5416,1,6,6,1
6.364,0.5369,1,6,6,1
6.402,0.5276,1,6,6,1
6.430,0.5180,1,6,6,1
6.467,0.5132,0,7,7,0
6.500,0.5033,0,7,7,0
6.531,0.4933,0,7,7,0
6.565,0.4882,0,7,7,0
6.598,0.4778,0,7,7,0
6.630,0.4673,0,7,7,0
6.663,0.4619,0,7,7,0
6.702,0.4511,0,7,7,0
6.733,0.4401,0,7,7,0
6.764,0.4345,0,7,7,0
6.796,0.4233,0,7,7,0
6.834,0.4120,0,7,7,0
6.867,0.4063,0,7,7,0
6.898,0.3947,0,7,7,0
6.931,0.3827,0,7,7,0
6.967,0.3764,0,7,7,0
6.998,0.3638,0,7,7,0
7.034,0.3506,0,7,7,0
7.065,0.3437,0,7,7,0
7.098,0.3302,0,7,7,0
7.133,0.3167,0,7,7,0
7.167,0.3098,0,7,7,0
7.199,0.2965,0,7,7,0
7.232,0.2835,0,7,7,0
7.265,0.2768,0,7,7,0
7.300,0.2643,0,7,7,0
7.335,0.2526,0,7,7,0
7.367,0.2470,0,7,7,0
7.400,0.2375,0,7,7,0
7.435,0.2299,0,7,7,0
7.468,0.2263,0,7,7,0
7.498,0.2212,0,7,7,0
7.531,0.2176,0,7,7,0
7.565,0.2156,0,7,7,0
7.595,0.2135,0,7,7,0
7.631,0.2116,0,7,7,0
7.664,0.2099,0,7,7,0
7.696,0.2085,0,7,7,0
7.732,0.2068,0,7,7,0
7.765,0.2049,0,7,7,0
7.801,0.2047,0,7,7,0
7.831,0.2058,0,7,7,0
7.864,0.2068,0,7,7,0
7.902,0.2078,0,7,7,0
7.934,0.2083,0,7,7,0
7.965,0.2088,0,7,7,0
7.997,0.2089,0,7,7,0
8.031,0.2090,0,7,7,0
8.067,0.2090,0,7,7,0
8.101,0.2088,0,7,7,0
8.130,0.2084,0,7,7,0
8.165,0.2082,0,7,7,0
8.196,0.2076,0,7,7,0
8.230,0.2070,0,7,7,0
8.268,0.2064,0,7,7,0
8.301,0.2056,0,7,7,0
8.326,0.2050,0,7,7,0
8.366,0.2038,0,7,7,0
8.398,0.2041,0,7,7,0
8.434,0.2062,0,7,7,0
8.466,0.2081,0,7,7,0
8.500,0.2099,0,7,7,0
8.534,0.2115,0,7,7,0
8.567,0.2131,0,7,7,0
8.599,0.2144,0,7,7,0
8.634,0.2157,0,7,7,0
8.669,0.2168,0,7,7,0
8.701,0.2166,0,7,7,0
8.733,0.2161,0,7,7,0
8.768,0.2142,0,7,7,0
8.800,0.2108,0,7,7,0
8.835,0.2068,0,7,7,0
8.866,0.2030,0,7,7,0
8.897,0.2023,0,7,7,0
8.931,0.2037,0,7,7,0
8.965,0.2046,0,7,7,0
8.997,0.2051,0,7,7,0
9.031,0.2053,0,7,7,0
9.065,0.2050,0,7,7,0
9.098,0.2048,0,7,7,0
9.132,0.2048,0,7,7,0
9.168,0.2048,0,7,7,0
9.200,0.2047,0,7,7,0
9.233,0.2047,0,7,7,0
9.268,0.2047,0,7,7,0
9.300,0.2048,0,7,7,0
9.333,0.2048,0,7,7,0
9.367,0.2048,0,7,7,0
