time,halfW01,d0,d1,d2,d3
2.939,0.8726,2,5,5,2
0.334,0.8720,2,5,5,2
0.372,0.8718,2,5,5,2
0.406,0.8716,2,5,5,2
0.438,0.8715,2,5,5,2
0.471,0.8713,2,5,5,2
0.505,0.8711,2,5,5,2
0.539,0.8710,2,5,5,2
0.576,0.8707,2,5,5,2
0.611,0.8705,2,5,5,2
0.651,0.8703,2,5,5,2
0.681,0.8700,2,5,5,2
0.714,0.8699,2,5,5,2
0.746,0.8696,2,5,5,2
0.769,0.8695,2,5,5,2
0.805,0.8692,2,5,5,2
0.839,0.8690,2,5,5,2
0.872,0.8688,2,5,5,2
0.908,0.8685,2,5,5,2
0.941,0.8682,2,5,5,2
0.973,0.8681,2,5,5,2
1.004,0.8678,0,0,0,0
1.041,0.8675,0,0,0,0
1.074,0.8673,0,0,0,0
1.107,0.8670,0,0,0,0
1.142,0.8667,0,0,0,0
1.174,0.8666,0,0,0,0
1.207,0.8663,0,0,0,0
1.238,0.8661,0,0,0,0
1.274,0.8658,0,0,0,0
1.307,0.8655,0,0,0,0
1.342,0.8652,0,0,0,0
1.374,0.8651,0,0,0,0
1.407,0.8648,0,0,0,0
1.440,0.8645,0,0,0,0
1.472,0.8643,0,0,0,0
1.504,0.8640,0,0,0,0
1.538,0.8638,0,0,0,0
1.575,0.8635,0,0,0,0
1.606,0.8632,0,0,0,0
1.640,0.8629,0,0,0,0
1.673,0.8628,0,0,0,0
1.707,0.8624,0,0,0,0
1.740,0.8623,0,0,0,0
1.772,0.8620,0,0,0,0
1.806,0.8617,0,0,0,0
1.840,0.8644,2,5,5,2
1.873,0.8718,2,5,5,2
1.908,0.8822,2,5,5,2
1.939,0.8911,2,5,5,2
1.971,0.8993,2,5,5,2
2.007,0.9072,2,5,5,2
2.041,0.9132,2,5,5,2
2.071,0.9171,2,5,5,2
2.106,0.9202,2,5,5,2
2.140,0.9215,2,5,5,2
2.174,0.9214,2,5,5,2
2.204,0.9203,2,5,5,2
2.242,0.9178,2,5,5,2
2.274,0.9145,2,5,5,2
2.307,0.9104,2,5,5,2
2.341,0.9054,2,5,5,2
2.374,0.9001,2,5,5,2
2.408,0.8949,2,5,5,2
2.441,0.8898,2,5,5,2
