time,halfW01,d0,d1,d2,d3
2.949,0.9013,2,5,5,2
0.333,0.9117,2,5,5,2
0.368,0.9128,2,5,5,2
0.401,0.9134,2,5,5,2
0.431,0.9145,2,5,5,2
0.466,0.9157,2,5,5,2
0.500,0.9162,2,5,5,2
0.533,0.9173,2,5,5,2
0.565,0.9184,2,5,5,2
0.596,0.9190,2,5,5,2
0.629,0.9200,2,5,5,2
0.667,0.9211,2,5,5,2
0.698,0.9216,2,5,5,2
0.731,0.9227,2,5,5,2
0.767,0.9237,2,5,5,2
0.803,0.9243,2,5,5,2
0.834,0.9253,2,5,5,2
0.866,0.9263,2,5,5,2
0.899,0.9268,2,5,5,2
0.931,0.9278,2,5,5,2
0.965,0.9288,2,5,5,2
0.999,0.9293,2,5,5,2
1.034,0.9303,2,5,5,2
1.067,0.9313,2,5,5,2
1.099,0.9318,2,5,5,2
1.134,0.9327,2,5,5,2
1.168,0.9337,2,5,5,2
1.200,0.9341,2,5,5,2
1.233,0.9351,2,5,5,2
1.264,0.9355,2,5,5,2
1.297,0.9365,2,5,5,2
1.333,0.9374,2,5,5,2
1.370,0.9383,0,0,0,0
1.398,0.9387,0,0,0,0
1.431,0.9396,0,0,0,0
1.464,0.9401,0,0,0,0
1.497,0.9409,0,0,0,0
1.530,0.9418,0,0,0,0
1.563,0.9422,0,0,0,0
1.604,0.9431,0,0,0,0
1.623,0.9435,0,0,0,0
1.664,0.9443,0,0,0,0
1.698,0.9451,0,0,0,0
1.734,0.9459,0,0,0,0
1.764,0.9464,0,0,0,0
1.802,0.9471,0,0,0,0
1.831,0.9479,0,0,0,0
1.867,0.9487,0,0,0,0
1.901,0.9491,0,0,0,0
1.933,0.9499,0,0,0,0
1.969,0.9506,0,0,0,0
2.004,0.9510,0,0,0,0
2.032,0.9517,0,0,0,0
2.067,0.9524,0,0,0,0
2.101,0.9528,0,0,0,0
2.133,0.9535,0,0,0,0
2.169,0.9542,0,0,0,0
2.201,0.9545,0,0,0,0
2.233,0.9552,0,0,0,0
2.267,0.9559,0,0,0,0
2.297,0.9562,0,0,0,0
2.334,0.9569,0,0,0,0
2.367,0.9575,0,0,0,0
2.397,0.9578,0,0,0,0
2.433,0.9585,0,0,0,0
2.467,0.9591,0,0,0,0
2.500,0.9594,0,0,0,0
2.532,0.9600,0,0,0,0
2.567,0.9606,0,0,0,0
2.600,0.9609,0,0,0,0
2.637,0.9614,0,0,0,0
2.665,0.9620,0,0,0,0
2.700,0.9623,0,0,0,0
2.732,0.9628,0,0,0,0
2.767,0.9633,0,0,0,0
2.801,0.9636,0,0,0,0
2.831,0.9641,0,0,0,0
2.867,0.9646,0,0,0,0
2.898,0.9649,0,0,0,0
2.931,0.9654,0,0,0,0
2.964,0.9656,0,0,0,0
3.004,0.9661,0,0,0,0
3.030,0.9665,0,0,0,0
3.066,0.9670,0,0,0,0
3.100,0.9672,0,0,0,0
3.130,0.9676,0,0,0,0
3.167,0.9680,0,0,0,0
3.199,0.9682,0,0,0,0
3.232,0.9686,0,0,0,0
3.266,0.9690,0,0,0,0
3.301,0.9692,0,0,0,0
3.334,0.9695,0,0,0,0
3.369,0.9699,0,0,0,0
3.401,0.9701,0,0,0,0
3.438,0.9704,0,0,0,0
3.463,0.9706,0,0,0,0
3.503,0.9709,0,0,0,0
3.531,0.9712,0,0,0,0
3.568,0.9715,0,0,0,0
3.598,0.9716,0,0,0,0
3.632,0.9719,0,0,0,0
3.666,0.9721,0,0,0,0
3.697,0.9723,0,0,0,0
3.734,0.9725,0,0,0,0
3.768,0.9728,0,0,0,0
3.802,0.9729,0,0,0,0
3.834,0.9731,0,0,0,0
3.865,0.9733,0,0,0,0
3.899,0.9734,0,0,0,0
3.937,0.9736,0,0,0,0
3.964,0.9737,0,0,0,0
3.997,0.9738,0,0,0,0
4.034,0.9740,0,0,0,0
4.066,0.9741,0,0,0,0
4.097,0.9742,0,0,0,0
4.134,0.9743,0,0,0,0
4.168,0.9745,0,0,0,0
4.200,0.9745,0,0,0,0
4.231,0.9746,0,0,0,0
4.268,0.9747,0,0,0,0
4.298,0.9748,0,0,0,0
4.336,0.9748,0,0,0,0
4.364,0.9749,0,0,0,0
4.400,0.9750,0,0,0,0
4.434,0.9750,0,0,0,0
4.467,0.9751,0,0,0,0
4.498,0.9751,0,0,0,0
4.534,0.9751,0,0,0,0
4.566,0.9751,0,0,0,0
4.599,0.9752,0,0,0,0
