time,halfW01,d0,d1,d2,d3
2.938,0.8578,2,5,5,2
0.339,0.8651,2,5,5,2
0.375,0.8660,2,5,5,2
0.406,0.8667,2,5,5,2
0.440,0.8671,2,5,5,2
0.472,0.8679,2,5,5,2
0.505,0.8686,2,5,5,2
0.541,0.8693,2,5,5,2
0.573,0.8696,2,5,5,2
0.608,0.8703,2,5,5,2
0.643,0.8710,2,5,5,2
0.671,0.8713,2,5,5,2
0.706,0.8719,2,5,5,2
0.738,0.8722,2,5,5,2
0.774,0.8727,2,5,5,2
0.803,0.8733,2,5,5,2
0.837,0.8736,2,5,5,2
0.874,0.8741,2,5,5,2
0.907,0.8746,2,5,5,2
0.938,0.8748,2,5,5,2
0.972,0.8753,2,5,5,2
1.005,0.8758,2,5,5,2
1.040,0.8762,2,5,5,2
1.071,0.8764,2,5,5,2
1.107,0.8768,2,5,5,2
1.141,0.8772,2,5,5,2
1.172,0.8774,2,5,5,2
1.205,0.8777,2,5,5,2
1.239,0.8779,2,5,5,2
1.273,0.8783,2,5,5,2
1.304,0.8786,2,5,5,2
1.339,0.8787,2,5,5,2
1.371,0.8790,0,0,0,0
1.404,0.8793,0,0,0,0
1.438,0.8794,0,0,0,0
1.481,0.8798,0,0,0,0
1.506,0.8800,0,0,0,0
1.541,0.8802,0,0,0,0
1.570,0.8803,0,0,0,0
1.606,0.8805,0,0,0,0
1.638,0.8806,0,0,0,0
1.671,0.8808,0,0,0,0
1.708,0.8810,0,0,0,0
1.737,0.8811,0,0,0,0
1.774,0.8813,0,0,0,0
1.804,0.8815,0,0,0,0
1.837,0.8815,0,0,0,0
1.880,0.8818,0,0,0,0
1.906,0.8818,0,0,0,0
1.934,0.8819,0,0,0,0
1.971,0.8820,0,0,0,0
2.005,0.8822,0,0,0,0
2.039,0.8822,0,0,0,0
2.071,0.8823,0,0,0,0
2.105,0.8825,0,0,0,0
2.139,0.8825,0,0,0,0
2.171,0.8826,0,0,0,0
2.201,0.8827,0,0,0,0
2.241,0.8828,0,0,0,0
2.271,0.8829,0,0,0,0
2.306,0.8829,0,0,0,0
2.340,0.8830,0,0,0,0
2.373,0.8831,0,0,0,0
2.406,0.8831,0,0,0,0
2.442,0.8832,0,0,0,0
2.471,0.8833,0,0,0,0
2.506,0.8833,0,0,0,0
2.541,0.8834,0,0,0,0
2.572,0.8834,0,0,0,0
2.606,0.8835,0,0,0,0
2.638,0.8835,0,0,0,0
2.672,0.8836,0,0,0,0
2.704,0.8837,0,0,0,0
2.742,0.8837,0,0,0,0
2.774,0.8837,0,0,0,0
2.806,0.8838,0,0,0,0
2.841,0.8839,0,0,0,0
2.874,0.8839,0,0,0,0
2.907,0.8839,0,0,0,0
2.938,0.8840,0,0,0,0
2.972,0.8840,0,0,0,0
3.004,0.8841,0,0,0,0
3.040,0.8841,0,0,0,0
3.072,0.8842,0,0,0,0
3.105,0.8842,0,0,0,0
3.139,0.8842,0,0,0,0
3.173,0.8843,0,0,0,0
3.205,0.8843,0,0,0,0
3.238,0.8844,0,0,0,0
3.272,0.8844,0,0,0,0
3.306,0.8845,0,0,0,0
3.339,0.8845,0,0,0,0
3.375,0.8846,0,0,0,0
3.397,0.8846,0,0,0,0
3.440,0.8846,0,0,0,0
3.474,0.8847,0,0,0,0
3.506,0.8847,0,0,0,0
3.538,0.8847,0,0,0,0
3.573,0.8848,0,0,0,0
3.606,0.8848,0,0,0,0
3.640,0.8849,0,0,0,0
3.673,0.8849,0,0,0,0
3.705,0.8849,0,0,0,0
3.739,0.8850,0,0,0,0
3.774,0.8850,0,0,0,0
3.806,0.8850,0,0,0,0
3.841,0.8851,0,0,0,0
3.873,0.8851,0,0,0,0
3.907,0.8851,0,0,0,0
3.940,0.8851,0,0,0,0
3.974,0.8852,0,0,0,0
4.005,0.8852,0,0,0,0
4.037,0.8852,0,0,0,0
4.064,0.8852,0,0,0,0
4.105,0.8853,0,0,0,0
4.138,0.8853,0,0,0,0
4.171,0.8853,0,0,0,0
4.207,0.8853,0,0,0,0
4.241,0.8853,0,0,0,0
4.272,0.8853,0,0,0,0
4.306,0.8853,0,0,0,0
4.341,0.8853,0,0,0,0
4.374,0.8853,0,0,0,0
4.406,0.8853,0,0,0,0
4.438,0.8853,0,0,0,0
4.471,0.8853,0,0,0,0
4.507,0.8853,0,0,0,0
4.539,0.8853,0,0,0,0
4.571,0.8853,0,0,0,0
4.605,0.8853,0,0,0,0
4.640,0.8853,0,0,0,0
4.673,0.8852,0,0,0,0
4.706,0.8852,0,0,0,0
4.738,0.8852,0,0,0,0
4.772,0.8852,0,0,0,0
4.805,0.8851,0,0,0,0
4.839,0.8851,0,0,0,0
4.873,0.8851,0,0,0,0
4.907,0.8850,0,0,0,0
4.938,0.8850,0,0,0,0
4.975,0.8849,0,0,0,0
5.008,0.8849,0,0,0,0
5.040,0.8848,0,0,0,0
5.073,0.8848,0,0,0,0
5.107,0.8847,0,0,0,0
5.140,0.8847,0,0,0,0
5.173,0.8846,0,0,0,0
5.210,0.8845,0,0,0,0
5.241,0.8844,0,0,0,0
5.272,0.8844,0,0,0,0
5.308,0.8843,0,0,0,0
5.337,0.8842,0,0,0,0
5.374,0.8841,0,0,0,0
5.404,0.8841,0,0,0,0
5.438,0.8840,0,0,0,0
5.474,0.8839,0,0,0,0
5.507,0.8839,0,0,0,0
5.541,0.8838,0,0,0,0
5.572,0.8838,0,0,0,0
5.606,0.8837,0,0,0,0
5.640,0.8836,0,0,0,0
5.673,0.8836,0,0,0,0
5.706,0.8835,0,0,0,0
5.738,0.8835,0,0,0,0
5.771,0.8834,0,0,0,0
5.807,0.8833,0,0,0,0
5.841,0.8832,0,0,0,0
5.873,0.8832,0,0,0,0
5.907,0.8831,0,0,0,0
5.941,0.8830,0,0,0,0
5.972,0.8830,0,0,0,0
6.006,0.8829,0,0,0,0
6.040,0.8828,0,0,0,0
6.074,0.8828,0,0,0,0
6.106,0.8827,0,0,0,0
6.140,0.8826,0,0,0,0
6.175,0.8825,0,0,0,0
6.207,0.8824,0,0,0,0
6.240,0.8823,0,0,0,0
6.272,0.8822,0,0,0,0
6.305,0.8821,0,0,0,0
6.340,0.8820,0,0,0,0
6.372,0.8819,0,0,0,0
6.405,0.8818,0,0,0,0
6.438,0.8817,0,0,0,0
6.471,0.8815,0,0,0,0
6.506,0.8814,0,0,0,0
6.538,0.8813,0,0,0,0
6.575,0.8812,0,0,0,0
6.605,0.8810,0,0,0,0
