time,halfW01,d0,d1,d2,d3
2.949,0.8289,2,5,5,2
0.333,0.8370,2,5,5,2
0.364,0.8379,2,5,5,2
0.398,0.8383,2,5,5,2
0.430,0.8392,2,5,5,2
0.465,0.8401,2,5,5,2
0.499,0.8405,2,5,5,2
0.533,0.8413,2,5,5,2
0.564,0.8421,2,5,5,2
0.599,0.8425,2,5,5,2
0.631,0.8433,2,5,5,2
0.664,0.8441,2,5,5,2
0.701,0.8448,2,5,5,2
0.731,0.8452,2,5,5,2
0.764,0.8460,2,5,5,2
0.797,0.8463,2,5,5,2
0.833,0.8471,2,5,5,2
0.867,0.8478,2,5,5,2
0.901,0.8485,2,5,5,2
0.933,0.8488,2,5,5,2
0.967,0.8495,2,5,5,2
1.000,0.8498,2,5,5,2
1.033,0.8505,2,5,5,2
1.067,0.8511,2,5,5,2
1.096,0.8514,2,5,5,2
1.130,0.8521,2,5,5,2
1.166,0.8526,2,5,5,2
1.200,0.8532,2,5,5,2
1.230,0.8535,2,5,5,2
1.265,0.8541,2,5,5,2
1.300,0.8546,2,5,5,2
1.330,0.8549,2,5,5,2
1.367,0.8554,0,0,0,0
1.397,0.8556,0,0,0,0
1.433,0.8561,0,0,0,0
1.463,0.8566,0,0,0,0
1.498,0.8568,0,0,0,0
1.533,0.8572,0,0,0,0
1.563,0.8577,0,0,0,0
1.600,0.8581,0,0,0,0
1.631,0.8583,0,0,0,0
1.668,0.8587,0,0,0,0
1.699,0.8589,0,0,0,0
1.730,0.8592,0,0,0,0
1.767,0.8596,0,0,0,0
1.797,0.8598,0,0,0,0
1.833,0.8601,0,0,0,0
1.863,0.8605,0,0,0,0
1.899,0.8606,0,0,0,0
1.934,0.8609,0,0,0,0
1.963,0.8612,0,0,0,0
1.998,0.8614,0,0,0,0
2.033,0.8617,0,0,0,0
2.067,0.8619,0,0,0,0
2.099,0.8621,0,0,0,0
2.138,0.8623,0,0,0,0
2.167,0.8626,0,0,0,0
2.197,0.8627,0,0,0,0
2.232,0.8630,0,0,0,0
2.263,0.8632,0,0,0,0
2.298,0.8633,0,0,0,0
2.334,0.8635,0,0,0,0
2.365,0.8637,0,0,0,0
2.401,0.8639,0,0,0,0
2.432,0.8640,0,0,0,0
2.462,0.8642,0,0,0,0
2.497,0.8643,0,0,0,0
2.534,0.8645,0,0,0,0
2.564,0.8647,0,0,0,0
2.600,0.8648,0,0,0,0
2.630,0.8650,0,0,0,0
2.664,0.8651,0,0,0,0
2.699,0.8652,0,0,0,0
2.734,0.8654,0,0,0,0
2.789,0.8656,0,0,0,0
2.801,0.8657,0,0,0,0
2.832,0.8658,0,0,0,0
2.863,0.8659,0,0,0,0
2.899,0.8660,0,0,0,0
2.933,0.8661,0,0,0,0
2.963,0.8662,0,0,0,0
2.998,0.8663,0,0,0,0
3.030,0.8664,0,0,0,0
3.067,0.8665,0,0,0,0
3.100,0.8667,0,0,0,0
3.134,0.8667,0,0,0,0
3.166,0.8668,0,0,0,0
3.198,0.8669,0,0,0,0
3.229,0.8670,0,0,0,0
3.266,0.8671,0,0,0,0
3.297,0.8671,0,0,0,0
3.330,0.8672,0,0,0,0
3.364,0.8673,0,0,0,0
3.407,0.8674,0,0,0,0
